RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,SOURCE OF WEALTH,SELF-MADE SCORE,RESIDENCE,CITIZENSHIP,MARITAL STATUS,CHILDREN,EDUCATION
72,Henry Samueli,$10 B,69,California,Semiconductors,2,TECHNOLOGY,"Semiconductors, Self Made",9,"Newport Beach, California",United States,Married,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles"
75,Carl Cook,$9.8 B,61,Indiana,Medical devices,"Bloomington, Indiana",HEALTHCARE,Medical devices,3,United States,Married,"Bachelor of Arts/Science, Purdue University; Master of Business Administration, Tippie School of Management",,
76,Bubba Cathy,$9.7 B,70,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,4,"Atlanta, Georgia",United States,Married,6,"Bachelor of Arts/Science, Samford University"
76,Dan Cathy,$9.7 B,71,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,4,"Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Southern University"
76,Trudy Cathy White,$9.7 B,68,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,2,"Hampton, Georgia",United States,Married,4,"Bachelor of Arts/Science, Samford University"
76,Marijke Mars,$9.7 B,60,California,"Candy, pet food","Los Angeles, California",FOOD & BEVERAGE,"Candy, pet food",2,United States,Divorced,"Bachelor of Arts/Science, Duke University",,
76,Pamela Mars,$9.7 B,64,Virginia,"Candy, pet food","Alexandria, Virginia",FOOD & BEVERAGE,"Candy, pet food",2,United States,Married,3,"Bachelor of Arts/Science, Vassar College",
76,Valerie Mars,$9.7 B,65,New York,"Candy, pet food","New York, New York",FOOD & BEVERAGE,"Candy, pet food",2,United States,Married,2,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Yale University",
76,Victoria Mars,$9.7 B,67,Pennsylvania,"Candy, pet food","Philadelphia, Pennsylvania",FOOD & BEVERAGE,"Candy, pet food",2,United States,Married,4,"Master of Business Administration, University of Pennsylvania, The Wharton School; Bachelor of Arts/Science, Yale University",
76,George Roberts,$9.7 B,80,California,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Atherton, California",United States,"Widowed, Remarried",3,"Bachelor of Arts/Science, Claremont McKenna College; Doctor of Jurisprudence, UC Hastings"
76,Harry Stine,$9.7 B,82,Iowa,Agriculture,1,FOOD & BEVERAGE,"Agriculture, Self Made",10,"Adel, Iowa",United States,Married,4,
85,Michael Kim,$9.6 B,60,,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",7,"Seoul, South Korea",United States,Married,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Haverford College"
86,Nathan Blecharczyk,$9.5 B,41,California,Airbnb,1,TECHNOLOGY,"Airbnb, Self Made",8,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Harvard University"
87,Ann Walton Kroenke,$9.4 B,75,Texas,Walmart,1,FASHION & RETAIL,Walmart,1,"Electra, Texas",United States,Married,2,"Registered Nurse, Lincoln University"
88,Nancy Walton Laurie,$9.3 B,73,Nevada,Walmart,1,FASHION & RETAIL,Walmart,1,"Henderson, Nevada",United States,Married,1,"Bachelor of Arts/Science, University of Memphis"
89,Jay Chaudhry,$9.2 B,64,Nevada,Security software,"Reno, Nevada",TECHNOLOGY,"Security software, Self Made",9,United States,Married,3,"Bachelor of Technology, Indian Institute of Technology, BHU",
89,Bernard Marcus,$9.2 B,95,Georgia,Home Depot,4,FASHION & RETAIL,"Home Depot, Self Made",10,"Atlanta, Georgia",United States,Married,3,"Bachelor of Arts/Science, Rutgers University"
89,Robert F. Smith,$9.2 B,61,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",8,"Austin, Texas",United States,Married,7,"Master of Business Administration, Columbia University; Bachelor of Arts/Science, Cornell University"
