RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
99,Orlando Bravo,$8.7 B,53,Florida,Private equity,1,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Miami Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, Brown University; Master of Business Administration, Stanford Graduate School of Business; Doctor of Jurisprudence, Stanford University",53,1,,,,
99,Jimmy Haslam,$8.7 B,69,Tennessee,"Gas stations, retail",2,FASHION & RETAIL,3,"Gas stations, retail","Knoxville, Tennessee",United States,Married,3,"Bachelor of Arts/Science, University of Tennessee Knoxville",70,2,,,,
99,Elizabeth Johnson,$8.7 B,60,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,1,Fidelity,"Boston, Massachusetts",United States,,,"Bachelor of Arts/Science, Franklin Pierce University",61,2,,,,
102,James Goodnight,$8.5 B,80,North Carolina,Software,2,TECHNOLOGY,8,"Software, Self Made","Cary, North Carolina",United States,Married,3,"Bachelor of Arts/Science, North Carolina State University; Doctorate, North Carolina State University; Master of Science, North Carolina State University",81,2,,,,
102,"Henry Nicholas, III.",$8.5 B,63,California,Semiconductors,1,TECHNOLOGY,8,"Semiconductors, Self Made","Newport Coast, California",United States,Divorced,3,"Bachelor of Arts/Science, University of California, Los Angeles; Doctorate, University of California, Los Angeles; Master of Science, University of California, Los Angeles",64,1,,,,
104,Marc Benioff,$8.4 B,59,California,Business software,4,TECHNOLOGY,8,"Business software, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Southern California",59,4,,,,
105,Robert Pera,$8.3 B,45,California,Wireless networking,1,TECHNOLOGY,8,"Wireless networking, Self Made","San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",46,1,,,,
105,David Shaw,$8.3 B,72,New York,Hedge funds,2,FINANCE & INVESTMENTS,8,"Hedge funds, Self Made","New York, New York",United States,Married,3,"Doctorate, Stanford University; Bachelor of Arts/Science, University of California, San Diego",73,2,,,,
107,Elisabeth DeLuca & family,$8.2 B,76,Florida,Subway,2,FOOD & BEVERAGE,2,Subway,"Pompano Beach, Florida",United States,Widowed,1,,77,2,,,,
108,Jack Dangermond,$8.1 B,78,California,Mapping software,2,TECHNOLOGY,8,"Mapping software, Self Made","Redlands, California",United States,Married,,"Bachelor of Arts/Science, California State Polytechnical University; Master of Science, Harvard University; Master of Science, University of Minnesota",79,2,,,,
108,Tom Gores,$8.1 B,59,California,Private equity,1,FINANCE & INVESTMENTS,8,"Private equity, Self Made","Beverly Hills, California",United States,Married,3,"Bachelor of Arts/Science, Michigan State University",60,1,,,,
108,"Paul Tudor Jones, II.",$8.1 B,69,Florida,Hedge funds,2,FINANCE & INVESTMENTS,7,"Hedge funds, Self Made","Palm Beach, Florida",United States,Married,4,"Bachelor of Arts/Science, University of Virginia",69,2,,,,
108,Steven Rales,$8.1 B,72,California,"Manufacturing, investments",2,MANUFACTURING,7,"Manufacturing, investments, Self Made","Santa Barbara, California",United States,Married,3,"Law Degree, American University; Bachelor of Arts/Science, DePauw University",73,2,,,,
108,Antony Ressler,$8.1 B,62,California,Finance,2,FINANCE & INVESTMENTS,8,"Finance, Self Made","Los Angeles, California",United States,Married,3,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Georgetown University",63,2,,,,
108,Leonard Stern,$8.1 B,85,New York,Real estate,1,REAL ESTATE,5,Real estate,"New York, New York",United States,Married,3,"Master of Business Administration, Leonard N. Stern School of Business; Bachelor of Arts/Science, New York University",86,1,,,,
114,Rocco Commisso,$8 B,73,New Jersey,Telecom,1,TELECOM,10,"Telecom, Self Made","Saddle River, New Jersey",United States,Married,2,"Bachelor of Arts/Science, Columbia University; Master of Business Administration, Columbia University",74,1,,,,
114,Tilman Fertitta,$8 B,66,Texas,"Entertainment, Houston Rockets",2,FOOD & BEVERAGE,9,"Entertainment, Houston Rockets, Self Made","Houston, Texas",United States,Married,4,"Drop Out, Texas Tech University; Drop Out, University of Houston",67,2,,,,
114,David Geffen,$8 B,80,California,"Movies, record labels",3,MEDIA & ENTERTAINMENT,9,"Movies, record labels, Self Made","Beverly Hills, California",United States,Single,,"Drop Out, The University of Texas at Austin",81,3,,,,
114,John Morris,$8 B,75,Missouri,Sporting goods retail,3,FASHION & RETAIL,9,"Sporting goods retail, Self Made","Springfield, Missouri",United States,Married,4,"Bachelor of Arts/Science, Drury University",76,3,,,,
118,Arthur Blank,$7.9 B,81,Georgia,Home Depot,3,SPORTS,9,"Home Depot, Self Made","Atlanta, Georgia",United States,Divorced,6,"Bachelor of Arts/Science, Babson College",81,3,,,,
119,Bruce Kovner,$7.7 B,78,New York,Hedge funds,2,FINANCE & INVESTMENTS,9,"Hedge funds, Self Made","New York, New York",United States,Married,3,"Bachelor of Arts/Science, Harvard University",79,2,,,,
119,Igor Olenicoff,$7.7 B,81,Florida,Real estate,1,REAL ESTATE,10,"Real estate, Self Made","Lighthouse Point, Florida",United States,Married,2,"Bachelor of Arts/Science, University of Southern California; Master of Business Administration, University of Southern California; Master of Science, University of Southern California",81,1,,,,
