RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
295,Richard Schulze,$3.8 B,82,Florida,Best Buy,3,FASHION & RETAIL,"Best Buy, Self Made",83,8,8,3,3,"Naples, Florida",83,"Best Buy, Self Made",,,,
295,Thomas Siebel,$3.8 B,70,California,Business software,4,TECHNOLOGY,"Business software, Self Made",71,8,8,4,4,"Woodside, California",71,"Business software, Self Made",,,,
295,Barry Sternlicht,$3.8 B,62,Florida,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",63,8,8,2,2,"Miami, Florida",63,"Private equity, Self Made",,,,
295,Michael Xie,$3.8 B,54,California,Cybersecurity,1,TECHNOLOGY,"Cybersecurity, Self Made",55,8,8,1,,1,55,"Cybersecurity, Self Made",,,,
304,William Ackman,$3.7 B,57,New York,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",58,7,7,3,3,"New York, New York",58,"Hedge funds, Self Made",,,,
304,Brian Armstrong,$3.7 B,40,California,Cryptocurrency,None,FINANCE & INVESTMENTS,"Cryptocurrency, Self Made",41,"Cryptocurrency, Self Made",8,,,8,41,,,,,
304,Hayes Barnard,$3.7 B,51,Texas,Fintech,2,FINANCE & INVESTMENTS,"Fintech, Self Made",52,10,10,2,2,"Austin, Texas",52,"Fintech, Self Made",,,,
304,Peter Gassner,$3.7 B,58,California,Software,None,TECHNOLOGY,"Software, Self Made",59,"Software, Self Made",8,8,"Pleasanton, California","Pleasanton, California",59,,,,,
304,Brad Jacobs,$3.7 B,67,Connecticut,Logistics,None,LOGISTICS,"Logistics, Self Made",68,"Logistics, Self Made",8,8,"Greenwich, Connecticut","Greenwich, Connecticut",68,,,,,
304,Mary Alice Dorrance Malone,$3.7 B,73,Pennsylvania,Campbell Soup,1,FOOD & BEVERAGE,Campbell Soup,74,2,2,1,1,"Coatesville, Pennsylvania",74,Campbell Soup,,,,
304,John Middleton,$3.7 B,68,Pennsylvania,Tobacco,2,FOOD & BEVERAGE,Tobacco,69,5,5,2,2,"Bryn Mawr, Pennsylvania",69,Tobacco,,,,
304,Jay Paul,$3.7 B,76,California,Real estate,None,REAL ESTATE,"Real estate, Self Made",77,"Real estate, Self Made",8,8,,"San Francisco, California",77,,,,,
304,"H. Ross Perot, Jr.",$3.7 B,64,Texas,Real estate,2,REAL ESTATE,Real estate,65,4,4,2,2,"Dallas, Texas",65,Real estate,,,,
304,Anthony Pritzker,$3.7 B,62,California,"Hotels, investments",3,SERVICE,"Hotels, investments",63,3,3,3,3,"Los Angeles, California",63,"Hotels, investments",,,,
314,Sanjit Biswas,$3.6 B,41,California,Sensor systems,None,TECHNOLOGY,"Sensor systems, Self Made",42,"Sensor systems, Self Made",8,8,"San Francisco, California","San Francisco, California",42,,,,,
314,James Clark,$3.6 B,79,Florida,"Netscape, investments",2,TECHNOLOGY,"Netscape, investments, Self Made",80,9,9,2,2,"Palm Beach, Florida",80,"Netscape, investments, Self Made",,,,
314,Jack Dorsey,$3.6 B,46,California,"Twitter, Square",4,TECHNOLOGY,"Twitter, Square, Self Made",47,8,8,4,,4,47,"Twitter, Square, Self Made",,,,
314,Travis Kalanick,$3.6 B,47,California,Uber,None,TECHNOLOGY,"Uber, Self Made",47,"Uber, Self Made",8,8,,"Los Angeles, California",47,,,,,
314,Steven Klinsky,$3.6 B,67,New York,Investments,None,FINANCE & INVESTMENTS,"Investments, Self Made",68,"Investments, Self Made",7,,,7,68,,,,,
314,Josh Kushner,$3.6 B,38,New York,Venture capital,None,FINANCE & INVESTMENTS,"Venture capital, Self Made",39,"Venture capital, Self Made",7,7,"New York, New York","New York, New York",39,,,,,
314,Daniel Och,$3.6 B,62,Florida,Hedge funds,3,FINANCE & INVESTMENTS,"Hedge funds, Self Made",63,7,7,3,3,"Miami Beach, Florida",63,"Hedge funds, Self Made",,,,
314,Bob Parsons,$3.6 B,72,Arizona,Web hosting,3,TECHNOLOGY,"Web hosting, Self Made",73,10,10,3,,3,73,"Web hosting, Self Made",,,,
314,Ira Rennert,$3.6 B,89,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",90,8,8,2,2,"New York, New York",90,"Investments, Self Made",,,,
314,Rodger Riney & family,$3.6 B,77,Missouri,Discount brokerage,2,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",78,7,7,2,2,"St. Louis, Missouri",78,"Discount brokerage, Self Made",,,,
314,Vincent Viola,$3.6 B,67,New York,Electronic trading,2,FINANCE & INVESTMENTS,"Electronic trading, Self Made",68,2,2,$42.1M,$42.1M,1%,68,"Electronic trading, Self Made",,,9,9
314,Jon Yarbrough,$3.6 B,66,Tennessee,Video games,1,GAMBLING & CASINOS,"Video games, Self Made",67,8,8,1,1,"Franklin, Tennessee",67,"Video games, Self Made",,,,
326,William Berkley,$3.5 B,77,Florida,Insurance,1,FINANCE & INVESTMENTS,"Insurance, Self Made",77,8,8,1,1,"Coconut Grove, Florida",77,"Insurance, Self Made",,,,
326,John Bicket,$3.5 B,43,California,Sensor systems,None,TECHNOLOGY,"Sensor systems, Self Made",44,"Sensor systems, Self Made",8,8,"San Francisco, California","San Francisco, California",44,,,,,
326,David Filo,$3.5 B,57,California,Yahoo,3,TECHNOLOGY,"Yahoo, Self Made",58,8,8,3,3,"Palo Alto, California",58,"Yahoo, Self Made",,,,
326,"Amos Hostetter, Jr.",$3.5 B,86,Massachusetts,Cable television,5,MEDIA & ENTERTAINMENT,"Cable television, Self Made",87,7,7,5,5,"Boston, Massachusetts",87,"Cable television, Self Made",,,,
326,John Paulson,$3.5 B,67,New York,Hedge funds,4,FINANCE & INVESTMENTS,"Hedge funds, Self Made",68,9,9,4,4,"New York, New York",68,"Hedge funds, Self Made",,,,
326,J.B. Pritzker,$3.5 B,58,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS,"Hotels, investments",59,3,3,3,3,"Springfield, Illinois",59,"Hotels, investments",,,,
326,J. Joe Ricketts & family,$3.5 B,82,Wyoming,TD Ameritrade,3,FINANCE & INVESTMENTS,"TD Ameritrade, Self Made",83,10,10,3,3,"Little Jackson Hole, Wyoming",83,"TD Ameritrade, Self Made",,,,
326,David Rubenstein,$3.5 B,74,Maryland,Private equity,4,FINANCE & INVESTMENTS,"Private equity, Self Made",74,9,9,4,4,"Bethesda, Maryland",74,"Private equity, Self Made",,,,
326,Herb Simon,$3.5 B,88,Indiana,Real estate,2,REAL ESTATE,"Real estate, Self Made",89,9,9,2,2,"Indianapolis, Indiana",89,"Real estate, Self Made",,,,
326,Pat Stryker,$3.5 B,67,Colorado,Medical equipment,3,HEALTHCARE,Medical equipment,68,1,1,3,3,"Fort Collins, Colorado",68,Medical equipment,,,,
326,Carl Thoma,$3.5 B,74,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",75,8,8,2,2,"Dallas, Texas",75,"Private equity, Self Made",,,,
326,Charles Zegar,$3.5 B,75,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,"Bloomberg LP, Self Made",76,9,9,2,,2,76,"Bloomberg LP, Self Made",,,,
338,Neal Blue & family,$3.4 B,88,California,Defense,None,MANUFACTURING,"Defense, Self Made",89,"Defense, Self Made",7,7,"San Diego, California","San Diego, California",89,,,,,
338,Jane Lauder,$3.4 B,50,New York,Estée Lauder,None,FASHION & RETAIL,Estée Lauder,51,Estée Lauder,4,4,,"New York, New York",51,,,,,
338,David Murdock,$3.4 B,10,,"0CaliforniaDole, real estate",None,FOOD & BEVERAGE,"Dole, real estate, Self Made",101,"Dole, real estate, Self Made",10,10,"Ventura, California","Ventura, California",101,,,,,
338,Jonathan Nelson,$3.4 B,67,Rhode Island,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",68,8,8,2,2,"Providence, Rhode Island",68,"Private equity, Self Made",,,,
338,Eren Ozmen,$3.4 B,65,Nevada,Aerospace,1,MANUFACTURING,"Aerospace, Self Made",65,9,9,1,1,"Reno, Nevada",65,"Aerospace, Self Made",,,,
338,Stewart Rahr,$3.4 B,77,New York,Drug distribution,3,HEALTHCARE,Drug distribution,78,5,5,3,3,"New York, New York",78,Drug distribution,,,,
338,Steve Wynn,$3.4 B,81,Florida,"Casinos, hotels",1,GAMBLING & CASINOS,"Casinos, hotels, Self Made",82,8,8,1,1,"Palm Beach, Florida",82,"Casinos, hotels, Self Made",,,,
345,John Arnold,$3.3 B,49,Texas,Hedge funds,5,FINANCE & INVESTMENTS,"Hedge funds, Self Made",50,8,8,5,5,"Houston, Texas",50,"Hedge funds, Self Made",,,,
345,Seth Boro,$3.3 B,48,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",48,8,8,1,1,,48,"Private equity, Self Made",,,,
345,"William Conway, Jr.",$3.3 B,74,Virginia,Private equity,4,FINANCE & INVESTMENTS,"Private equity, Self Made",74,8,8,4,4,"McLean, Virginia",74,"Private equity, Self Made",,,,
345,Scott Crabill,$3.3 B,53,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",54,8,8,1,1,,54,"Private equity, Self Made",,,,
345,Bom Kim,$3.3 B,45,,Online retailing,None,TECHNOLOGY,"Online retailing, Self Made",45,"Online retailing, Self Made",8,8,"Seoul, South Korea","Seoul, South Korea",45,,,,,
345,Richard LeFrak & family,$3.3 B,78,New York,Real estate,2,REAL ESTATE,Real estate,78,5,5,2,2,"New York, New York",78,Real estate,,,,
345,Daniel Loeb,$3.3 B,61,New York,Hedge funds,2,FINANCE & INVESTMENTS,"Hedge funds, Self Made",62,7,7,2,,2,62,"Hedge funds, Self Made",,,,
345,Fatih Ozmen,$3.3 B,65,Nevada,Aerospace,1,MANUFACTURING,"Aerospace, Self Made",66,9,9,1,,,66,"Aerospace, Self Made",,,,
345,Penny Pritzker,$3.3 B,64,Illinois,"Hotels, investments",3,FINANCE & INVESTMENTS,"Hotels, investments",65,3,3,3,3,"Chicago, Illinois",65,"Hotels, investments",,,,
345,Holden Spaht,$3.3 B,49,California,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",50,8,8,1,1,,50,"Private equity, Self Made",,,,
345,Frank VanderSloot,$3.3 B,75,Idaho,"Nutrition, wellness products",3,FASHION & RETAIL,"Nutrition, wellness products, Self Made",75,10,10,3,3,"Idaho Falls, Idaho",75,"Nutrition, wellness products, Self Made",,,,
356,Nicolas Berggruen,$3.2 B,62,California,"Real estate, investments",2,REAL ESTATE,"Real estate, investments",62,5,5,2,,2,62,"Real estate, investments",,,,
356,George Bishop,$3.2 B,85,Texas,Oil & gas,1,ENERGY,"Oil & gas, Self Made",86,7,7,1,,,86,"Oil & gas, Self Made",,,,
356,Norman Braman,$3.2 B,91,Florida,"Art, car dealerships",2,AUTOMOTIVE,"Art, car dealerships, Self Made",91,9,9,2,2,"Miami, Florida",91,"Art, car dealerships, Self Made",,,,
356,Todd Christopher,$3.2 B,60,Florida,Hair care products,1,FASHION & RETAIL,"Hair care products, Self Made",61,9,9,1,,1,61,"Hair care products, Self Made",,,,
356,Stephen Deckoff,$3.2 B,57,,U.S. Virgin IslandsPrivate equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",58,8,8,1,1,"St. John, U.S. Virgin Islands",58,"Private equity, Self Made",,,,
356,Robert Johnson,$3.2 B,76,Florida,"Johnson & Johnson, New York Jets",None,SPORTS,"Johnson & Johnson, New York Jets",77,"Johnson & Johnson, New York Jets",4,4,"Palm Beach, Florida",,77,,,,,
356,Richard Peery,$3.2 B,85,California,Real estate,2,REAL ESTATE,"Real estate, Self Made",85,8,8,2,2,"Palo Alto, California",85,"Real estate, Self Made",,,,
356,Robert Sands,$3.2 B,65,Florida,Liquor,1,FOOD & BEVERAGE,Liquor,66,4,4,1,,1,66,Liquor,,,,
356,Howard Schultz,$3.2 B,70,Washington,Starbucks,3,FOOD & BEVERAGE,"Starbucks, Self Made",71,10,10,3,3,"Seattle, Washington",71,"Starbucks, Self Made",,,,
356,Warren Stephens,$3.2 B,66,Arkansas,Investment banking,1,FINANCE & INVESTMENTS,Investment banking,67,4,4,1,1,"Little Rock, Arkansas",67,Investment banking,,,,
366,Brian Acton,$3.1 B,51,California,WhatsApp,4,TECHNOLOGY,"WhatsApp, Self Made",52,8,8,4,4,"Palo Alto, California",52,"WhatsApp, Self Made",,,,
366,George Argyros & family,$3.1 B,86,California,"Real estate, investments",3,REAL ESTATE,"Real estate, investments, Self Made",87,9,9,3,3,"Newport Beach, California",87,"Real estate, investments, Self Made",,,,
366,Ron Burkle,$3.1 B,70,,"Supermarkets, investments",1,FINANCE & INVESTMENTS,"Supermarkets, investments, Self Made",71,9,9,1,1,"London, United Kingdom",71,"Supermarkets, investments, Self Made",,,,
366,Andrew Cherng,$3.1 B,76,Nevada,Fast food,2,FOOD & BEVERAGE,"Fast food, Self Made",77,9,9,2,2,,77,"Fast food, Self Made",,,,
366,Peggy Cherng,$3.1 B,75,Nevada,Fast food,2,FOOD & BEVERAGE,"Fast food, Self Made",76,9,9,2,2,"Las Vegas, Nevada",76,"Fast food, Self Made",,,,
366,Bennett Dorrance,$3.1 B,77,Arizona,Campbell Soup,2,FOOD & BEVERAGE,Campbell Soup,78,2,2,2,2,"Paradise Valley, Arizona",78,Campbell Soup,,,,
366,Rajiv Jain,$3.1 B,55,Florida,Finance,1,FINANCE & INVESTMENTS,"Finance, Self Made",56,8,8,,,1,56,"Finance, Self Made",,,,
366,Pablo Legorreta,$3.1 B,59,New York,Investments,1,FINANCE & INVESTMENTS,"Investments, Self Made",60,8,8,1,1,"Sag Harbor, New York",60,"Investments, Self Made",,,,
366,"Drayton McLane, Jr.",$3.1 B,87,Texas,"Walmart, logistics",2,FASHION & RETAIL,"Walmart, logistics",88,5,5,2,2,"Temple, Texas",88,"Walmart, logistics",,,,
366,Vincent McMahon,$3.1 B,78,Connecticut,Entertainment,1,SPORTS,"Entertainment, Self Made",78,9,9,1,1,"Greenwich, Connecticut",78,"Entertainment, Self Made",,,,
366,Geoffrey Palmer,$3.1 B,73,California,Real estate,1,REAL ESTATE,"Real estate, Self Made",74,8,8,1,,1,74,"Real estate, Self Made",,,,
366,Rodney Sacks & family,$3.1 B,73,California,Energy drinks,None,FOOD & BEVERAGE,"Energy drinks, Self Made",74,"Energy drinks, Self Made",8,,,8,74,,,,,
366,Jerry Speyer & family,$3.1 B,83,New York,Real estate,1,REAL ESTATE,"Real estate, Self Made",84,8,8,1,1,"New York, New York",84,"Real estate, Self Made",,,,
379,Aneel Bhusri,$3 B,57,California,Business software,1,TECHNOLOGY,"Business software, Self Made",58,8,8,1,1,"San Francisco, California",58,"Business software, Self Made",,,,
379,Charles Cohen,$3 B,71,New York,Real estate,1,REAL ESTATE,Real estate,72,5,5,1,1,"New York, New York",72,Real estate,,,,
379,"Edward DeBartolo, Jr.",$3 B,76,Florida,Shopping centers,2,REAL ESTATE,Shopping centers,77,5,5,2,2,"Tampa, Florida",77,Shopping centers,,,,
379,John Paul DeJoria,$3 B,79,Texas,"Hair products, tequila",2,FASHION & RETAIL,"Hair products, tequila, Self Made",80,10,10,2,2,"Austin, Texas",80,"Hair products, tequila, Self Made",,,,
379,James Duff,$3 B,62,Mississippi,"Tires, diversified",1,DIVERSIFIED,"Tires, diversified, Self Made",63,7,7,1,1,,63,"Tires, diversified, Self Made",,,,
379,Thomas Duff,$3 B,66,Mississippi,"Tires, diversified",1,DIVERSIFIED,"Tires, diversified, Self Made",67,7,7,1,1,"Hattiesburg, Mississippi",67,"Tires, diversified, Self Made",,,,
379,J. Tomilson Hill,$3 B,75,New York,Investments,2,FINANCE & INVESTMENTS,"Investments, Self Made",76,6,6,2,2,"New York, New York",76,"Investments, Self Made",,,,
379,Stewart Horejsi & family,$3 B,86,Arizona,Berkshire Hathaway,2,FINANCE & INVESTMENTS,"Berkshire Hathaway, Self Made",86,8,8,2,2,,86,"Berkshire Hathaway, Self Made",,,,
379,Michael Jordan,$3 B,60,Florida,"Charlotte Hornets, endorsements",1,SPORTS,"Charlotte Hornets, endorsements, Self Made",61,8,8,1,1,"Jupiter, Florida",61,"Charlotte Hornets, endorsements, Self Made",,,,
379,Haim Saban,$3 B,78,California,"TV network, investments",3,MEDIA & ENTERTAINMENT,"TV network, investments, Self Made",79,9,9,3,3,"Beverly Hills, California",79,"TV network, investments, Self Made",,,,
379,Leonard Schleifer,$3 B,71,New York,Pharmaceuticals,1,HEALTHCARE,"Pharmaceuticals, Self Made",72,8,8,1,1,"Tarrytown, New York",72,"Pharmaceuticals, Self Made",,,,
379,Jeffrey Talpins,$3 B,48,New York,Hedge fund,None,FINANCE & INVESTMENTS,"Hedge fund, Self Made",49,"Hedge fund, Self Made",8,8,,"Larchmont, New York",49,,,,,
379,Thomas Tull,$3 B,53,Pennsylvania,"Movies, investments",2,MEDIA & ENTERTAINMENT,"Movies, investments, Self Made",54,9,9,2,,2,54,"Movies, investments, Self Made",,,,
379,Todd Wanek,$3 B,59,Florida,Furniture,2,MANUFACTURING,Furniture,60,4,4,2,2,,60,Furniture,,,,
379,Meg Whitman,$3 B,67,California,EBay,2,TECHNOLOGY,"EBay, Self Made",67,6,6,2,2,"Los Angeles, California",67,"EBay, Self Made",,,,
379,"William Wrigley, Jr.",$3 B,59,Florida,Chewing gum,None,FOOD & BEVERAGE,Chewing gum,60,Chewing gum,3,3,"North Palm Beach, Florida","North Palm Beach, Florida",60,,,,,
395,Bill Austin,$2.9 B,81,Texas,Hearing aids,None,MANUFACTURING,"Hearing aids, Self Made",82,"Hearing aids, Self Made",9,9,"Brownsville, Texas","Brownsville, Texas",82,,,,,
395,J. Hyatt Brown,$2.9 B,86,Florida,Insurance,2,FINANCE & INVESTMENTS,Insurance,87,2,2,$73M,,$73M,87,Insurance,,,5,5
395,Ray Davis,$2.9 B,81,Texas,Pipelines,2,ENERGY,"Pipelines, Self Made",82,8,8,2,2,"Dallas, Texas",82,"Pipelines, Self Made",,,,
395,Chris Larsen,$2.9 B,63,California,Cryptocurrency,4,FINANCE & INVESTMENTS,"Cryptocurrency, Self Made",64,8,8,4,4,"San Francisco, California",64,"Cryptocurrency, Self Made",,,,
395,C. Dean Metropoulos,$2.9 B,77,Florida,Investments,1,FOOD & BEVERAGE,"Investments, Self Made",78,8,8,1,1,"Palm Beach, Florida",78,"Investments, Self Made",,,,
395,Daniel Sundheim,$2.9 B,46,New York,Hedge funds,1,FINANCE & INVESTMENTS,"Hedge funds, Self Made",47,8,8,1,,,47,"Hedge funds, Self Made",,,,
