RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
42,Leonard Lauder,$15.4 B,90,New York,Estee Lauder,3,FASHION & RETAIL,Estee Lauder,91,5,5,3,3,"New York, New York",91,Estee Lauder,,,,
44,Jan Koum,$15.1 B,47,California,WhatsApp,2,TECHNOLOGY,"WhatsApp, Self Made",48,10,10,2,,2,48,"WhatsApp, Self Made",,,,
45,Philip Anschutz,$14.8 B,83,Colorado,"Energy, sports, entertainment",3,FINANCE & INVESTMENTS,"Energy, sports, entertainment",84,5,5,3,3,"Denver, Colorado",84,"Energy, sports, entertainment",,,,
45,Autry Stephens,$14.8 B,85,Texas,Oil,None,ENERGY,"Oil, Self Made",86,"Oil, Self Made",9,9,"Midland, Texas","Midland, Texas",86,,,,,
47,Stanley Kroenke,$14.6 B,76,Texas,"Sports, real estate",1,SPORTS,"Sports, real estate, Self Made",77,7,7,1,1,"Electra, Texas",77,"Sports, real estate, Self Made",,,,
48,Jerry Jones,$14.5 B,80,Texas,Dallas Cowboys,1,SPORTS,"Dallas Cowboys, Self Made",81,8,8,1,1,"Dallas, Texas",81,"Dallas Cowboys, Self Made",,,,
49,George Kaiser,$14.1 B,81,Oklahoma,"Oil & gas, banking",4,ENERGY,"Oil & gas, banking",82,5,5,4,4,"Tulsa, Oklahoma",82,"Oil & gas, banking",,,,
50,Andrew Beal,$13.8 B,70,Texas,"Banks, real estate",1,FINANCE & INVESTMENTS,"Banks, real estate, Self Made",71,8,8,1,1,"Dallas, Texas",71,"Banks, real estate, Self Made",,,,
51,David Duffield,$13.7 B,83,Nevada,Business software,3,TECHNOLOGY,"Business software, Self Made",83,8,8,3,3,"Incline Village, Nevada",83,"Business software, Self Made",,,,
51,David Green & family,$13.7 B,81,Oklahoma,Retail,2,FASHION & RETAIL,"Retail, Self Made",82,10,10,2,2,"Oklahoma City, Oklahoma",82,"Retail, Self Made",,,,
51,Jeffery Hildebrand,$13.7 B,64,Texas,Oil,2,ENERGY,"Oil, Self Made",65,8,8,2,2,"Houston, Texas",65,"Oil, Self Made",,,,
54,Laurene Powell Jobs & family,$13.4 B,59,California,"Apple, Disney",2,TECHNOLOGY,"Apple, Disney",60,2,2,2,2,"Palo Alto, California",60,"Apple, Disney",,,,
55,Shahid Khan,$12.2 B,73,Florida,Auto parts,1,AUTOMOTIVE,"Auto parts, Self Made",74,10,10,1,1,"Naples, Florida",74,"Auto parts, Self Made",,,,
55,Dustin Moskovitz,$12.2 B,39,California,Facebook,4,TECHNOLOGY,"Facebook, Self Made",40,8,8,4,,4,40,"Facebook, Self Made",,,,
57,Leon Black,$12 B,72,New York,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",73,8,8,2,2,"New York, New York",73,"Private equity, Self Made",,,,
58,Israel Englander,$11.8 B,75,New York,Hedge funds,1,FINANCE & INVESTMENTS,"Hedge funds, Self Made",75,9,9,1,1,"New York, New York",75,"Hedge funds, Self Made",,,,
58,Christy Walton,$11.8 B,74,Wyoming,Walmart,1,FASHION & RETAIL,Walmart,75,1,1,1,1,"Jackson, Wyoming",75,Walmart,,,,
60,Donald Newhouse,$11.6 B,94,New York,Media,2,MEDIA & ENTERTAINMENT,Media,94,5,5,2,2,"New York, New York",94,Media,,,,
61,Michael Rubin,$11.5 B,51,Pennsylvania,Online retail,1,FASHION & RETAIL,"Online retail, Self Made",52,8,8,1,1,"Bryn Mawr, Pennsylvania",52,"Online retail, Self Made",,,,
62,Robert Kraft,$11.1 B,82,Massachusetts,"Manufacturing, New England Patriots",3,SPORTS,"Manufacturing, New England Patriots, Self Made",83,8,8,3,3,"Brookline, Massachusetts",83,"Manufacturing, New England Patriots, Self Made",,,,
63,John Doerr,$10.7 B,72,California,Venture capital,2,TECHNOLOGY,"Venture capital, Self Made",73,8,8,2,2,"Woodside, California",73,"Venture capital, Self Made",,,,
64,"Edward Johnson, IV.",$10.6 B,58,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,Fidelity,59,2,2,,,2,59,Fidelity,,,,
65,Eric Smidt,$10.5 B,63,California,Hardware stores,1,FASHION & RETAIL,"Hardware stores, Self Made",64,10,10,1,,,64,"Hardware stores, Self Made",,,,
66,Melinda French Gates,$10.3 B,59,Washington,Microsoft,5,TECHNOLOGY,Microsoft,59,2,2,5,5,"Medina, Washington",59,Microsoft,,,,
67,Judy Love & family,$10.2 B,86,Oklahoma,Gas stations,1,FASHION & RETAIL,"Gas stations, Self Made",87,9,9,1,1,"Oklahoma City, Oklahoma",87,"Gas stations, Self Made",,,,
67,David Sun,$10.2 B,71,California,Computer hardware,1,TECHNOLOGY,"Computer hardware, Self Made",72,10,10,1,1,"Irvine, California",72,"Computer hardware, Self Made",,,,
67,John Tu,$10.2 B,82,California,Computer hardware,1,TECHNOLOGY,"Computer hardware, Self Made",82,9,9,1,1,"Rolling Hills, California",82,"Computer hardware, Self Made",,,,
70,Stephen Ross,$10.1 B,83,New York,Real estate,2,REAL ESTATE,"Real estate, Self Made",84,8,8,2,2,"New York, New York",84,"Real estate, Self Made",,,,
70,Patrick Ryan,$10.1 B,86,Illinois,Insurance,2,FINANCE & INVESTMENTS,"Insurance, Self Made",87,8,8,2,2,"Winnetka, Illinois",87,"Insurance, Self Made",,,,
72,Brian Chesky,$10 B,42,California,Airbnb,1,TECHNOLOGY,"Airbnb, Self Made",42,8,8,1,,1,42,"Airbnb, Self Made",,,,
72,John Malone,$10 B,82,Colorado,Cable television,3,MEDIA & ENTERTAINMENT,"Cable television, Self Made",83,8,8,3,3,"Elizabeth, Colorado",83,"Cable television, Self Made",,,,
72,Henry Samueli,$10 B,69,California,Semiconductors,2,TECHNOLOGY,"Semiconductors, Self Made",69,9,9,2,2,"Newport Beach, California",69,"Semiconductors, Self Made",,,,
75,Carl Cook,$9.8 B,61,Indiana,Medical devices,None,HEALTHCARE,Medical devices,61,Medical devices,3,3,,"Bloomington, Indiana",61,,,,,
76,Bubba Cathy,$9.7 B,69,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,70,4,4,1,1,"Atlanta, Georgia",70,Chick-fil-A,,,,
76,Dan Cathy,$9.7 B,70,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,71,4,4,1,1,"Atlanta, Georgia",71,Chick-fil-A,,,,
76,Trudy Cathy White,$9.7 B,67,Georgia,Chick-fil-A,1,FOOD & BEVERAGE,Chick-fil-A,68,2,2,1,1,"Hampton, Georgia",68,Chick-fil-A,,,,
76,Marijke Mars,$9.7 B,59,California,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",60,"Candy, pet food",2,2,,"Los Angeles, California",60,,,,,
76,Pamela Mars,$9.7 B,63,Virginia,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",64,"Candy, pet food",2,2,"Alexandria, Virginia","Alexandria, Virginia",64,,,,,
76,Valerie Mars,$9.7 B,64,New York,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",65,"Candy, pet food",2,2,"New York, New York","New York, New York",65,,,,,
76,Victoria Mars,$9.7 B,66,Pennsylvania,"Candy, pet food",None,FOOD & BEVERAGE,"Candy, pet food",67,"Candy, pet food",2,2,"Philadelphia, Pennsylvania","Philadelphia, Pennsylvania",67,,,,,
76,George Roberts,$9.7 B,80,California,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",80,8,8,3,3,"Atherton, California",80,"Private equity, Self Made",,,,
76,Harry Stine,$9.7 B,81,Iowa,Agriculture,1,FOOD & BEVERAGE,"Agriculture, Self Made",82,10,10,1,1,,82,"Agriculture, Self Made",,,,
85,Michael Kim,$9.6 B,60,,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",60,7,7,1,1,"Seoul, South Korea",60,"Private equity, Self Made",,,,
86,Nathan Blecharczyk,$9.5 B,40,California,Airbnb,1,TECHNOLOGY,"Airbnb, Self Made",41,8,8,1,1,"San Francisco, California",41,"Airbnb, Self Made",,,,
87,Ann Walton Kroenke,$9.4 B,74,Texas,Walmart,1,FASHION & RETAIL,Walmart,75,1,1,1,1,"Electra, Texas",75,Walmart,,,,
88,Nancy Walton Laurie,$9.3 B,72,Nevada,Walmart,1,FASHION & RETAIL,Walmart,73,1,1,1,1,"Henderson, Nevada",73,Walmart,,,,
89,Jay Chaudhry,$9.2 B,64,Nevada,Security software,None,TECHNOLOGY,"Security software, Self Made",64,"Security software, Self Made",9,9,"Reno, Nevada","Reno, Nevada",64,,,,,
89,Bernard Marcus,$9.2 B,94,Georgia,Home Depot,4,FASHION & RETAIL,"Home Depot, Self Made",95,10,10,4,4,"Atlanta, Georgia",95,"Home Depot, Self Made",,,,
89,Robert F. Smith,$9.2 B,60,Texas,Private equity,2,FINANCE & INVESTMENTS,"Private equity, Self Made",61,8,8,2,2,"Austin, Texas",61,"Private equity, Self Made",,,,
92,Ramzi Musallam,$9 B,55,New York,Private equity,None,FINANCE & INVESTMENTS,"Private equity, Self Made",55,"Private equity, Self Made",6,,,6,55,,,,,
92,J. Christopher Reyes,$9 B,69,Florida,Food distribution,1,FOOD & BEVERAGE,"Food distribution, Self Made",70,8,8,1,1,"Hobe Sound, Florida",70,"Food distribution, Self Made",,,,
92,Jude Reyes,$9 B,68,Florida,Food distribution,1,FOOD & BEVERAGE,"Food distribution, Self Made",68,8,8,1,1,"Palm Beach, Florida",68,"Food distribution, Self Made",,,,
92,Charles Schwab,$9 B,86,California,Discount brokerage,3,FINANCE & INVESTMENTS,"Discount brokerage, Self Made",87,8,8,3,3,"Woodside, California",87,"Discount brokerage, Self Made",,,,
96,Joe Gebbia,$8.9 B,42,Texas,Airbnb,2,TECHNOLOGY,"Airbnb, Self Made",42,8,8,2,,2,42,"Airbnb, Self Made",,,,
96,Henry Kravis,$8.9 B,79,New York,Private equity,3,FINANCE & INVESTMENTS,"Private equity, Self Made",80,8,8,3,3,"New York, New York",80,"Private equity, Self Made",,,,
98,Pauline MacMillan Keinath,$8.8 B,89,Missouri,Cargill,1,FOOD & BEVERAGE,Cargill,90,1,1,1,1,,90,Cargill,,,,
99,Orlando Bravo,$8.7 B,53,Florida,Private equity,1,FINANCE & INVESTMENTS,"Private equity, Self Made",53,8,8,1,1,"Miami Beach, Florida",53,"Private equity, Self Made",,,,
99,Jimmy Haslam,$8.7 B,69,Tennessee,"Gas stations, retail",2,FASHION & RETAIL,"Gas stations, retail",70,3,3,2,2,"Knoxville, Tennessee",70,"Gas stations, retail",,,,
99,Elizabeth Johnson,$8.7 B,60,Massachusetts,Fidelity,2,FINANCE & INVESTMENTS,Fidelity,61,1,1,,,2,61,Fidelity,,,,
102,James Goodnight,$8.5 B,80,North Carolina,Software,2,TECHNOLOGY,"Software, Self Made",81,8,8,2,2,"Cary, North Carolina",81,"Software, Self Made",,,,
102,"Henry Nicholas, III.",$8.5 B,63,California,Semiconductors,1,TECHNOLOGY,"Semiconductors, Self Made",64,8,8,1,1,"Newport Coast, California",64,"Semiconductors, Self Made",,,,
